2015-07-02 11:55:55,073 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2015-07-02 11:55:55,218 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=2424833)程序状态(PS01_就绪)
2015-07-02 11:55:55,247 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2015-07-02 11:55:55,347 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=720897)程序状态(PS01_就绪)
2015-07-02 11:55:55,351 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=1638401)程序状态(PS01_就绪)
2015-07-02 11:55:55,353 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=196609)程序状态(PS01_就绪)
2015-07-02 11:55:55,354 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=196610)程序状态(PS01_就绪)
2015-07-02 11:55:58,063 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录窗口]btnLogin_Click Begin...
2015-07-02 11:55:59,202 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] Login(masj, pwd, 3001) Begin...
2015-07-02 11:55:59,203 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2015-07-02 11:55:59,401 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2015-07-02 11:55:59,405 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() Begin...
2015-07-02 11:56:16,081 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() 坐席登录...AgentID is:10658,AgentNum is:1894,GroupName is:汽车金融服务部,OutNum is:92
2015-07-02 11:56:16,081 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() End...
2015-07-02 11:56:17,466 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [HollyContactHelper]用户操作==添加技能组->1007 3
2015-07-02 11:56:17,466 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [HollyContactHelper]用户操作==添加技能组->1038 3
2015-07-02 11:56:18,100 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [HollyContactHelper]用户操作==签入->False
2015-07-02 11:56:18,130 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [^^^厂家错误通知^^^]OnError ：CTIErrorCode:1343225862   ErrorCode:1  ErrorDesc:Err_IContact_AgentIDInService
2015-07-02 12:00:07,996 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] Login(masj, pwd, 3001) End.
2015-07-02 12:00:07,999 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录窗口]btnLogin_Click End
2015-07-02 12:00:09,218 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] ExitLogin() Begin...
2015-07-02 12:00:09,514 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [HollyContactHelper]用户操作==卸载->True
2015-07-02 12:00:09,515 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] ExitLogin() End.
2015-07-02 13:42:59,879 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2015-07-02 13:43:00,114 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=2555905)程序状态(PS01_就绪)
2015-07-02 13:43:00,221 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2015-07-02 13:43:00,336 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=1638401)程序状态(PS01_就绪)
2015-07-02 13:43:00,817 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=720897)程序状态(PS01_就绪)
2015-07-02 13:43:00,819 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=196609)程序状态(PS01_就绪)
2015-07-02 13:43:00,821 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=196610)程序状态(PS01_就绪)
2015-07-02 13:43:03,557 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录窗口]btnLogin_Click Begin...
2015-07-02 13:43:03,882 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] Login(masj, pwd, 3001) Begin...
2015-07-02 13:43:03,884 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2015-07-02 13:43:07,287 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2015-07-02 13:43:07,291 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() Begin...
2015-07-02 13:43:17,747 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() 坐席登录...AgentID is:10658,AgentNum is:1894,GroupName is:汽车金融服务部,OutNum is:92
