2017-12-01 09:43:50,393 [10] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2017-12-01 09:43:50,430 [10] INFO  BaseLog [(null)] - 同步文章数据-----开始
2017-12-01 09:43:50,509 [10] INFO  BaseLog [(null)] - 同步文章数据-----结束
2017-12-01 09:43:50,648 [6] INFO  BaseLog [(null)] - 当前线程[6],同步微信文章数据 任务开始
2017-12-01 09:43:50,669 [11] INFO  BaseLog [(null)] - 当前线程[11],同步微信文章数据 任务开始
2017-12-01 09:43:50,801 [12] INFO  BaseLog [(null)] - 当前线程[12],同步微信文章数据 任务开始
2017-12-01 09:43:51,078 [11] INFO  BaseLog [(null)] - 当前线程[11],同步微信文章数据-----开始
2017-12-01 09:43:51,078 [12] INFO  BaseLog [(null)] - 当前线程[12],同步微信文章数据-----开始
2017-12-01 09:43:51,078 [6] INFO  BaseLog [(null)] - 当前线程[6],同步微信文章数据-----开始
2017-12-01 09:43:51,082 [11] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2017-12-01 09:43:53,265 [11] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=2183毫秒，结果返回条数为：3条记录
2017-12-01 09:43:53,273 [6] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2017-12-01 09:43:53,296 [11] INFO  BaseLog [(null)] - 当前线程[11],微信文章数据,目前循环到第1个，总共需要3条数据要清洗
2017-12-01 09:44:53,988 [6] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=60714毫秒，结果返回条数为：3条记录
2017-12-01 09:44:53,992 [12] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2017-12-01 09:44:53,992 [6] INFO  BaseLog [(null)] - 当前线程[6],微信文章数据,目前循环到第1个，总共需要3条数据要清洗
2017-12-01 09:44:54,848 [12] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=856毫秒，结果返回条数为：3条记录
2017-12-01 09:44:55,519 [12] INFO  BaseLog [(null)] - 当前线程[12],微信文章数据,目前循环到第1个，总共需要3条数据要清洗
2017-12-01 09:45:01,989 [6] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/ePTzepwoNWP2TKw8ibquBEntuMq6ibplsaKGolARcAvIDJZ6iby6bwA3k6LjChNVVfSDurs0ibLoKrDJCtDg4FKTfw/0?wx_fmt=jpeg]---------开始
2017-12-01 09:45:01,990 [11] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/dzvQgHlKewyGoU1HFsqaZ9Oa8xqVkUwFWSfNFHU8PubLGic9Ryh0fNkXKHB4wiaRY04OhRkrHqibaiaPe8ZzhU8Teg/0?wx_fmt=jpeg]---------开始
2017-12-01 09:45:01,990 [12] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/ePTzepwoNWP2TKw8ibquBEntuMq6ibplsaSickcnYJub9nMrBEdhv3VbwtlOAibwq5w2EWpb1OLh0icDD55E1biaBcpQ/0?wx_fmt=jpeg]---------开始
2017-12-01 09:45:02,566 [6] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/ePTzepwoNWP2TKw8ibquBEntuMq6ibplsaKGolARcAvIDJZ6iby6bwA3k6LjChNVVfSDurs0ibLoKrDJCtDg4FKTfw/0?wx_fmt=jpeg]---------结束，转换后为[http://192.168.3.71/group1/M00/07/D6/oYYBAFogtN2Ae1KkAAAbq9FV_2c790.jpg]
2017-12-01 09:45:02,571 [11] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/dzvQgHlKewyGoU1HFsqaZ9Oa8xqVkUwFWSfNFHU8PubLGic9Ryh0fNkXKHB4wiaRY04OhRkrHqibaiaPe8ZzhU8Teg/0?wx_fmt=jpeg]---------结束，转换后为[http://192.168.3.71/group1/M00/07/D6/oYYBAFogtN2AYC99AAFlopBtBRc065.jpg]
