2017-09-04 15:32:32,746 [10] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2017-09-04 15:32:33,808 [6] INFO  BaseLog [(null)] - 同步文章数据-----开始
2017-09-04 15:32:34,113 [6] INFO  BaseLog [(null)] - 同步微信文章数据-----开始
2017-09-04 15:33:02,108 [6] INFO  BaseLog [(null)] - 微信文章数据,目前循环到第1个，总共需要1条数据要清洗
2017-09-04 15:33:37,010 [6] INFO  BaseLog [(null)] - 接口[https://api.aq.163.com/v3/text/check]，调用耗时：94,返回数据为：{"code":401,"msg":"forbidden","result":null}
2017-09-04 15:34:48,375 [10] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2017-09-04 15:34:49,433 [6] INFO  BaseLog [(null)] - 同步文章数据-----开始
2017-09-04 15:34:49,561 [6] INFO  BaseLog [(null)] - 同步微信文章数据-----开始
2017-09-04 15:35:00,848 [6] INFO  BaseLog [(null)] - 微信文章数据,目前循环到第1个，总共需要1条数据要清洗
2017-09-04 15:36:04,901 [6] INFO  BaseLog [(null)] - 文章ID为199680中,共有15个img标签
2017-09-04 15:36:17,813 [6] INFO  BaseLog [(null)] - 此处图片[http://mmbiz.qpic.cn/mmbiz_jpg/ad5CdFExf6OdSMfJd5kW5HDTiau3meVchG8jffxwcBIg2lAeSuMsRFwKG6s1QGoyty2Zav1fxZZgaQmIlk21K9w/640.jpeg?]中高度小于175，实际高度为100，需要移除,文章ID为：199680
2017-09-04 15:37:38,528 [10] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2017-09-04 15:37:39,582 [6] INFO  BaseLog [(null)] - 同步文章数据-----开始
2017-09-04 15:37:39,605 [6] INFO  BaseLog [(null)] - 同步微信文章数据-----开始
2017-09-04 15:37:54,289 [6] INFO  BaseLog [(null)] - 微信文章数据,目前循环到第1个，总共需要1条数据要清洗
2017-09-04 15:38:15,019 [6] INFO  BaseLog [(null)] - 文章ID为199680中,共有4个a标签(有href属性的)
2017-09-04 15:38:15,020 [6] INFO  BaseLog [(null)] - 文章ID为199680中,共有4个a标签(有href属性的)，已全部剔除
2017-09-04 15:38:16,670 [6] INFO  BaseLog [(null)] - 文章ID为199680中,共有1个包含有特定关键词的标签
2017-09-04 15:38:16,672 [6] INFO  BaseLog [(null)] - 文章ID为199680中,共有1个包含有特定关键词的标签，已全部剔除
2017-09-04 15:38:17,751 [6] INFO  BaseLog [(null)] - 文章ID为199680中,在所有标签中，查找有正则匹配URL或Email的，共有2个，已全部剔除父级P标签
2017-09-04 15:38:55,258 [11] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2017-09-04 15:38:56,355 [6] INFO  BaseLog [(null)] - 同步文章数据-----开始
2017-09-04 15:38:56,388 [6] INFO  BaseLog [(null)] - 同步微信文章数据-----开始
2017-09-04 15:39:02,516 [6] INFO  BaseLog [(null)] - 微信文章数据,目前循环到第1个，总共需要1条数据要清洗
2017-09-04 15:39:16,236 [6] INFO  BaseLog [(null)] - 文章ID为199680中,共有15个img标签
2017-09-04 15:39:16,425 [6] INFO  BaseLog [(null)] - 此处图片[http://mmbiz.qpic.cn/mmbiz_jpg/ad5CdFExf6OdSMfJd5kW5HDTiau3meVchG8jffxwcBIg2lAeSuMsRFwKG6s1QGoyty2Zav1fxZZgaQmIlk21K9w/640.jpeg?]中高度小于175，实际高度为100，需要移除,文章ID为：199680
2017-09-04 15:39:28,813 [10] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2017-09-04 15:39:29,880 [6] INFO  BaseLog [(null)] - 同步文章数据-----开始
2017-09-04 15:39:29,902 [6] INFO  BaseLog [(null)] - 同步微信文章数据-----开始
2017-09-04 15:39:37,250 [6] INFO  BaseLog [(null)] - 微信文章数据,目前循环到第1个，总共需要1条数据要清洗
2017-09-04 15:40:02,453 [6] INFO  BaseLog [(null)] - 文章ID为199680中,共有4个a标签(有href属性的)
2017-09-04 15:40:02,454 [6] INFO  BaseLog [(null)] - 文章ID为199680中,共有4个a标签(有href属性的)，已全部剔除
2017-09-04 15:40:08,615 [6] INFO  BaseLog [(null)] - 文章ID为199680中,共有1个包含有特定关键词的标签
2017-09-04 15:40:08,616 [6] INFO  BaseLog [(null)] - 文章ID为199680中,共有1个包含有特定关键词的标签，已全部剔除
2017-09-04 15:40:12,320 [6] INFO  BaseLog [(null)] - 文章ID为199680中,在所有标签中，查找有正则匹配URL或Email的，共有2个，已全部剔除父级P标签
