2017-11-15 14:06:31,690 [9] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2017-11-15 14:06:31,717 [9] INFO  BaseLog [(null)] - 同步文章数据-----开始
2017-11-15 14:06:31,727 [9] INFO  BaseLog [(null)] - 同步文章数据-----结束
2017-11-15 14:06:31,733 [10] INFO  BaseLog [(null)] - 当前线程[10],同步微信文章数据 任务开始
2017-11-15 14:06:31,734 [11] INFO  BaseLog [(null)] - 当前线程[11],同步微信文章数据 任务开始
2017-11-15 14:06:31,734 [12] INFO  BaseLog [(null)] - 当前线程[12],同步微信文章数据 任务开始
2017-11-15 14:06:31,869 [10] INFO  BaseLog [(null)] - 当前线程[10],同步微信文章数据-----开始
2017-11-15 14:06:31,869 [12] INFO  BaseLog [(null)] - 当前线程[12],同步微信文章数据-----开始
2017-11-15 14:06:31,869 [11] INFO  BaseLog [(null)] - 当前线程[11],同步微信文章数据-----开始
2017-11-15 14:06:31,873 [10] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2017-11-15 14:06:35,330 [10] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=3457毫秒，结果返回条数为：3条记录
2017-11-15 14:06:35,336 [11] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2017-11-15 14:06:35,343 [10] INFO  BaseLog [(null)] - 当前线程[10],微信文章数据,目前循环到第1个，总共需要3条数据要清洗
2017-11-15 14:06:35,408 [10] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/gynFS6CBiadjx4fgibb8FY4mSpND4DOibMYk0u1j7rQpGxyZ52eexZBGiclE7Ksne4JPMHCkJ9St8LmO6Z4MplsL6A/0]---------开始
2017-11-15 14:06:35,801 [10] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/gynFS6CBiadjx4fgibb8FY4mSpND4DOibMYk0u1j7rQpGxyZ52eexZBGiclE7Ksne4JPMHCkJ9St8LmO6Z4MplsL6A/0]---------结束，转换后为[http://192.168.3.71/group1/M00/02/5A/oYYBAFoL2hiAGaR_AADa017A73g403.jpg]
2017-11-15 14:06:46,091 [11] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=10754毫秒，结果返回条数为：3条记录
2017-11-15 14:06:46,091 [12] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2017-11-15 14:06:46,091 [11] INFO  BaseLog [(null)] - 当前线程[11],微信文章数据,目前循环到第1个，总共需要3条数据要清洗
2017-11-15 14:06:46,125 [10] INFO  BaseLog [(null)] - 文章ID为1257324中,共有5个img标签
2017-11-15 14:06:46,128 [10] INFO  BaseLog [(null)] - 文章ID为1257324中,共有5个img标签
2017-11-15 14:06:46,158 [11] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/dnSSEQ6C17LeG1POhALibia83fjpHeibRxAlNIwf2yI0JTLDibnF3wKKouUrolP3wJibiaLAib2eQYskwWvsMy7PbAsSw/0]---------开始
2017-11-15 14:06:46,356 [11] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/dnSSEQ6C17LeG1POhALibia83fjpHeibRxAlNIwf2yI0JTLDibnF3wKKouUrolP3wJibiaLAib2eQYskwWvsMy7PbAsSw/0]---------结束，转换后为[http://192.168.3.71/group1/M00/02/5A/oYYBAFoL2iOAU2QEAACU0Zcodu0473.jpg]
2017-11-15 14:06:46,359 [11] INFO  BaseLog [(null)] - 文章ID为1257184中,共有1个视频iframe标签
2017-11-15 14:06:46,360 [11] INFO  BaseLog [(null)] - 文章ID为1257184中,共有1个[//iframe[contains(@data-src,'v.qq.com')]|//iframe[contains(@src,'v.qq.com')]]标签
2017-11-15 14:06:46,361 [11] INFO  BaseLog [(null)] - 文章ID为1257184中,共有1个[//iframe[contains(@data-src,'v.qq.com')]|//iframe[contains(@src,'v.qq.com')]]标签，已全部剔除
2017-11-15 14:06:46,362 [11] INFO  BaseLog [(null)] - 文章ID为1257184中,共有9个img标签
2017-11-15 14:06:46,363 [11] INFO  BaseLog [(null)] - 文章ID为1257184中,共有9个img标签
2017-11-15 14:06:46,696 [10] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_jpg/gynFS6CBiadhmXicqomRg95YLSvFUpnH6PDQInUuckicFBw5hhtIelRiaUrD9v2xUmkhUJr84jNItsQibD6Q8XB8u1g/0?wx_fmt=jpeg]中高度小于175，实际高度为58，需要移除,文章ID为：1257324
2017-11-15 14:06:46,786 [11] INFO  BaseLog [(null)] - 此处图片[http://mmbiz.qpic.cn/mmbiz_jpg/dnSSEQ6C17LuxND7OI9WgywC21Jia6BDJr1b5zVy9z1D5UQJpiaj0D9TdsHnrAqd5QVaJacXr3TdfUhqIlRm2xZg/0?wx_fmt=jpeg]中高度小于175，实际高度为30，需要移除,文章ID为：1257184
2017-11-15 14:06:46,872 [11] INFO  BaseLog [(null)] - 此处图片[http://mmbiz.qpic.cn/mmbiz_jpg/dnSSEQ6C17LuxND7OI9WgywC21Jia6BDJVpcAvWnPCVyGZ6kk1jHHibdic2G5xUzcpng9ECURviaV9umTp3PIuGA2Q/0?wx_fmt=jpeg]中高度小于175，实际高度为30，需要移除,文章ID为：1257184
2017-11-15 14:06:47,024 [11] INFO  BaseLog [(null)] - 此处图片[http://mmbiz.qpic.cn/mmbiz_jpg/dnSSEQ6C17LuxND7OI9WgywC21Jia6BDJr1b5zVy9z1D5UQJpiaj0D9TdsHnrAqd5QVaJacXr3TdfUhqIlRm2xZg/0?wx_fmt=jpeg]中高度小于175，实际高度为30，需要移除,文章ID为：1257184
2017-11-15 14:06:47,066 [11] INFO  BaseLog [(null)] - 此处图片[http://mmbiz.qpic.cn/mmbiz_jpg/dnSSEQ6C17LuxND7OI9WgywC21Jia6BDJVpcAvWnPCVyGZ6kk1jHHibdic2G5xUzcpng9ECURviaV9umTp3PIuGA2Q/0?wx_fmt=jpeg]中高度小于175，实际高度为30，需要移除,文章ID为：1257184
2017-11-15 14:06:47,117 [11] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_gif/dnSSEQ6C17IYK45iaHzo8adkS7YtGRXKCNF6Am67FHzElzZSwOMBgotNhWvXakC9ibmwMqAv57zD0iayqrWFMq9zQ/0?wx_fmt=gif]中高度小于175，实际高度为19，需要移除,文章ID为：1257184
2017-11-15 14:06:47,664 [11] INFO  BaseLog [(null)] - 此处图片[https://mmbiz.qpic.cn/mmbiz_png/dnSSEQ6C17KPeDXClTW7iaibIfbO3kpzBNn5FwO3x5xzFdjSkVbs3deviaDt3aTwJCV9KicUUG3thUeHibfeNjRAseA/0?wx_fmt=png]中有二维码，需要移除,文章ID为：1257184
