2017-09-13 16:11:40,831 [10] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2017-09-13 16:11:40,853 [10] INFO  BaseLog [(null)] - 同步文章数据-----开始
2017-09-13 16:11:41,042 [10] INFO  BaseLog [(null)] - 同步文章数据-----结束
2017-09-13 16:11:41,057 [12] INFO  BaseLog [(null)] - 当前线程[12],同步搜狐文章数据 任务开始
2017-09-13 16:11:41,057 [11] INFO  BaseLog [(null)] - 当前线程[11],同步头条号数据 任务开始
2017-09-13 16:11:41,061 [6] INFO  BaseLog [(null)] - 当前线程[6],同步微信文章数据 任务开始
2017-09-13 16:11:41,305 [13] INFO  BaseLog [(null)] - 当前线程[13],同步微信文章数据 任务开始
2017-09-13 16:11:41,847 [6] INFO  BaseLog [(null)] - 当前线程[6],同步微信文章数据-----开始
2017-09-13 16:11:41,848 [11] INFO  BaseLog [(null)] - 当前线程[11],同步今日头条文章数据-----开始
2017-09-13 16:11:41,847 [13] INFO  BaseLog [(null)] - 当前线程[13],同步微信文章数据-----开始
2017-09-13 16:11:41,847 [12] INFO  BaseLog [(null)] - 当前线程[12],同步搜狐文章数据-----开始
2017-09-13 16:11:45,199 [11] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=3，开始
2017-09-13 16:11:50,045 [15] INFO  BaseLog [(null)] - 当前线程[15],同步头条号数据 任务开始
2017-09-13 16:11:50,046 [15] INFO  BaseLog [(null)] - 当前线程[15],同步今日头条文章数据-----开始
2017-09-13 16:11:50,208 [11] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=3，结束，调用耗时=5008毫秒，结果返回条数为：3条记录
2017-09-13 16:11:50,209 [11] INFO  BaseLog [(null)] - 当前线程[11],今日头条文章数据,目前循环到第1个，总共需要3条数据要清洗
2017-09-13 16:11:52,634 [6] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2017-09-13 16:11:56,805 [11] INFO  BaseLog [(null)] - 更新这些今日头条TouTiaoArticleInfo表中的主键ID[3001],的状态为：1
2017-09-13 16:11:59,213 [11] INFO  BaseLog [(null)] - 当前线程[11],今日头条文章数据,目前循环到第2个，总共需要3条数据要清洗
2017-09-13 16:12:00,020 [11] INFO  BaseLog [(null)] - 更新这些今日头条TouTiaoArticleInfo表中的主键ID[3000],的状态为：1
2017-09-13 16:12:00,478 [11] INFO  BaseLog [(null)] - 当前线程[11],今日头条文章数据,目前循环到第3个，总共需要3条数据要清洗
