2017-09-01 16:23:32,022 [9] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2017-09-01 16:23:33,150 [11] INFO  BaseLog [(null)] - 同步文章数据-----开始
2017-09-01 16:23:33,332 [11] INFO  BaseLog [(null)] - 同步微信文章数据-----开始
2017-09-01 16:31:13,853 [11] INFO  BaseLog [(null)] - 微信文章数据,目前循环到第1个，总共需要50条数据要清洗
2017-09-01 16:31:37,355 [11] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/vL8dwqbGEZHcgwKSHHI1xjYRBib0bfKBJINLaHMCqW6lejEDeK9vg1TIzOUJY0gIZeDrAEzeUpTbs1O5MJ3sedQ/0?wx_fmt=jpeg]---------开始
2017-09-01 19:02:10,972 [10] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2017-09-01 19:02:12,008 [11] INFO  BaseLog [(null)] - 同步文章数据-----开始
2017-09-01 19:02:12,033 [11] INFO  BaseLog [(null)] - 同步微信文章数据-----开始
2017-09-01 19:27:23,337 [10] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2017-09-01 19:27:24,359 [6] INFO  BaseLog [(null)] - 同步文章数据-----开始
2017-09-01 19:27:24,532 [6] INFO  BaseLog [(null)] - 同步微信文章数据-----开始
2017-09-01 19:27:34,103 [6] INFO  BaseLog [(null)] - 微信文章数据,目前循环到第1个，总共需要5条数据要清洗
2017-09-01 19:27:59,285 [6] INFO  BaseLog [(null)] - 文章ID为187102中,共有1个视频iframe标签
2017-09-01 19:28:21,584 [6] INFO  BaseLog [(null)] - 微信文章数据,SN=187102，没有文章内容，已剔除
2017-09-01 19:28:21,585 [6] INFO  BaseLog [(null)] - 更新这些微信Weixin_ArticleInfo表中的主键ID[187102],的状态为：2
2017-09-01 19:28:21,610 [6] INFO  BaseLog [(null)] - 微信文章数据,目前循环到第2个，总共需要5条数据要清洗
2017-09-01 19:28:40,253 [6] INFO  BaseLog [(null)] - 文章ID为187101中,共有2个img标签
2017-09-01 19:29:02,764 [6] INFO  BaseLog [(null)] - 文章ID为187101中,共有2个img标签，其中移除二维码图片的标签共有0个,高度小于175的图片有0个，网易检测不符合规则的图片有0个。
2017-09-01 19:29:18,396 [6] INFO  BaseLog [(null)] - 接口[https://api.aq.163.com/v3/text/check]，调用耗时：144,返回数据为：{"code":401,"msg":"forbidden","result":null}
2017-09-01 19:29:30,880 [6] INFO  BaseLog [(null)] - 微信文章数据,SN=187101，没有文章内容，已剔除
2017-09-01 19:57:18,654 [10] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2017-09-01 19:57:19,697 [6] INFO  BaseLog [(null)] - 同步文章数据-----开始
2017-09-01 19:57:19,718 [6] INFO  BaseLog [(null)] - 同步微信文章数据-----开始
