2018-02-07 09:22:33,931 [1] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2018-02-07 09:22:33,983 [1] INFO  BaseLog [(null)] - 同步文章数据-----开始
2018-02-07 09:22:34,036 [1] INFO  BaseLog [(null)] - 同步文章数据-----结束
2018-02-07 09:22:34,057 [4] INFO  BaseLog [(null)] - 当前线程[4],同步微信文章数据 任务开始
2018-02-07 09:22:34,122 [5] INFO  BaseLog [(null)] - 当前线程[5],同步微信文章数据 任务开始
2018-02-07 09:22:34,138 [6] INFO  BaseLog [(null)] - 当前线程[6],同步微信文章数据 任务开始
2018-02-07 09:22:34,450 [5] INFO  BaseLog [(null)] - 当前线程[5],同步微信文章数据-----开始
2018-02-07 09:22:34,451 [6] INFO  BaseLog [(null)] - 当前线程[6],同步微信文章数据-----开始
2018-02-07 09:22:34,451 [4] INFO  BaseLog [(null)] - 当前线程[4],同步微信文章数据-----开始
2018-02-07 09:22:34,469 [5] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-07 09:22:35,605 [5] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=1134毫秒，结果返回条数为：3条记录
2018-02-07 09:22:35,612 [5] INFO  BaseLog [(null)] - 当前线程[5],微信文章数据,目前循环到第1个，总共需要3条数据要清洗
2018-02-07 09:22:35,612 [4] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-07 09:22:35,714 [5] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/vTdS84hduUibvzcCYic4V8liaFz7Sj8QcTiawslibTT3qGr7myicrpdYaRoXbf4deLX81FjTURGWv7OicJC4GAgG2Qcsg/0?wx_fmt=jpeg]---------开始
2018-02-07 09:22:35,905 [5] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/vTdS84hduUibvzcCYic4V8liaFz7Sj8QcTiawslibTT3qGr7myicrpdYaRoXbf4deLX81FjTURGWv7OicJC4GAgG2Qcsg/0?wx_fmt=jpeg]---------结束，转换后为[http://192.168.3.76/group4/M00/07/19/pIYBAFp6VeOAdIV6AAAt5ixZIMg560.jpg]
2018-02-07 09:22:36,072 [5] INFO  BaseLog [(null)] - 文章ID为221447中,共有1个视频iframe标签
2018-02-07 09:22:36,074 [5] INFO  BaseLog [(null)] - 文章ID为221447中,共有1个[//iframe[contains(@data-src,'v.qq.com')]|//iframe[contains(@src,'v.qq.com')]]标签
2018-02-07 09:22:36,074 [5] INFO  BaseLog [(null)] - 文章ID为221447中,共有1个[//iframe[contains(@data-src,'v.qq.com')]|//iframe[contains(@src,'v.qq.com')]]标签，已全部剔除
2018-02-07 09:22:36,076 [5] INFO  BaseLog [(null)] - 文章ID为221447中,共有9个img标签
2018-02-07 09:22:36,078 [5] INFO  BaseLog [(null)] - 文章ID为221447中,共有9个img标签
2018-02-07 09:22:36,261 [4] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=649毫秒，结果返回条数为：3条记录
2018-02-07 09:22:36,265 [4] INFO  BaseLog [(null)] - 当前线程[4],微信文章数据,目前循环到第1个，总共需要3条数据要清洗
2018-02-07 09:22:36,266 [6] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-07 09:22:36,274 [4] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/1iaxbASTX5iaNyojwKHb7hhCd0QKH3yLJqDlwSLoibfOV1XaPrGkJFEPA2fY5F8lmTMic0WPsUgUshqUJIuG1DWacQ/0?wx_fmt=jpeg]---------开始
2018-02-07 09:22:36,483 [4] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/1iaxbASTX5iaNyojwKHb7hhCd0QKH3yLJqDlwSLoibfOV1XaPrGkJFEPA2fY5F8lmTMic0WPsUgUshqUJIuG1DWacQ/0?wx_fmt=jpeg]---------结束，转换后为[http://192.168.3.76/group4/M00/07/19/pIYBAFp6VeSAGtOAAAGXu2esWyI038.jpg]
2018-02-07 09:22:36,703 [4] INFO  BaseLog [(null)] - 文章ID为221444中,共有1个视频iframe标签
2018-02-07 09:22:36,717 [4] INFO  BaseLog [(null)] - 文章ID为221444中,共有1个[//iframe[contains(@data-src,'v.qq.com')]|//iframe[contains(@src,'v.qq.com')]]标签
2018-02-07 09:22:36,719 [4] INFO  BaseLog [(null)] - 文章ID为221444中,共有1个[//iframe[contains(@data-src,'v.qq.com')]|//iframe[contains(@src,'v.qq.com')]]标签，已全部剔除
2018-02-07 09:22:36,719 [4] INFO  BaseLog [(null)] - 文章ID为221444中,共有1个[//mpvoice|//qqmusic]标签
2018-02-07 09:22:36,720 [4] INFO  BaseLog [(null)] - 文章ID为221444中,共有1个[//mpvoice|//qqmusic]标签，已全部剔除
2018-02-07 09:22:36,721 [4] INFO  BaseLog [(null)] - 文章ID为221444中,共有24个img标签
2018-02-07 09:22:36,722 [4] INFO  BaseLog [(null)] - 文章ID为221444中,共有24个img标签
2018-02-07 09:22:36,812 [6] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=545毫秒，结果返回条数为：3条记录
2018-02-07 09:22:36,827 [6] INFO  BaseLog [(null)] - 当前线程[6],微信文章数据,目前循环到第1个，总共需要3条数据要清洗
2018-02-07 09:22:36,865 [6] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/vTdS84hduUibvzcCYic4V8liaFz7Sj8QcTiaZt4eXQWNxDNk6PZnfeZnE7WVILhgbtID9wy5Nau8uPtlKpvfhsHkWQ/0?wx_fmt=jpeg]---------开始
