2018-01-15 13:35:34,919 [9] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2018-01-15 13:35:35,032 [9] INFO  BaseLog [(null)] - 同步文章数据-----开始
2018-01-15 13:35:35,032 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-01-15 13:35:35,544 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
2018-01-15 13:35:35,568 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-01-15 13:35:38,910 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=3341毫秒，结果返回条数为：3条记录
2018-01-15 13:35:38,912 [9] INFO  BaseLog [(null)] - 当前线程[9],微信文章数据,目前循环到第1个，总共需要3条数据要清洗
2018-01-15 13:35:41,972 [9] INFO  BaseLog [(null)] - 当前线程[9],微信文章数据,SN=22252，有特定词语，已剔除
2018-01-15 13:35:41,973 [9] INFO  BaseLog [(null)] - 更新这些微信Weixin_ArticleInfo表中的主键ID[22252],的状态为：2
2018-01-15 13:35:42,024 [9] INFO  BaseLog [(null)] - 当前线程[9],微信文章数据,目前循环到第2个，总共需要3条数据要清洗
2018-01-15 13:35:45,291 [9] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/dFUDrnj7wROngfRozbbypJiak16eaygwY0NOKnJLBV9SPicLNjtibBa6xibnFJVx18xFuae7LztLBibDpDs0u1yMjlQ/0?wx_fmt=jpeg]---------开始
2018-01-15 13:35:46,012 [9] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/dFUDrnj7wROngfRozbbypJiak16eaygwY0NOKnJLBV9SPicLNjtibBa6xibnFJVx18xFuae7LztLBibDpDs0u1yMjlQ/0?wx_fmt=jpeg]---------结束，转换后为[http://192.168.3.71/group1/M00/15/73/oYYBAFpcPmWAUyJqAABQXcKKFmE430.jpg]
2018-01-15 13:36:47,971 [9] INFO  BaseLog [(null)] - 文章ID为22255中,共有1个音频标签
2018-01-15 13:36:50,376 [9] INFO  BaseLog [(null)] - 文章ID为22255中,共有1个[//mpvoice|//qqmusic]标签
2018-01-15 13:36:50,377 [9] INFO  BaseLog [(null)] - 文章ID为22255中,共有1个[//mpvoice|//qqmusic]标签，已全部剔除
2018-01-15 13:36:51,625 [9] INFO  BaseLog [(null)] - 文章ID为22255中,共有34个img标签
2018-01-15 13:36:53,209 [9] INFO  BaseLog [(null)] - 接口[https://api.aq.163.com/v3/text/check]，调用耗时：414,返回数据为：{"code":200,"msg":"ok","result":{"taskId":"025076ee9a5946cf8ad88e2f8a34c6a3","action":1,"labels":[{"label":600,"level":1,"details":{"hint":["神经病"]}}]}}
2018-01-15 13:36:53,485 [9] INFO  BaseLog [(null)] - 接口[https://api.aq.163.com/v3/text/check],返回有问题数据为：articleID=22255,articleUrl=http://mp.weixin.qq.com/s?__biz=MjM5OTAxMzM2MA==&mid=2649826378&idx=1&sn=ec2bdd2affe4240d13d55ccc93687b32&scene=0#wechat_redirect,action=1,labels=[{"label":600,"level":1,"details":{"hint":["神经病"]}}]
2018-01-15 13:36:58,687 [9] INFO  BaseLog [(null)] - 当前线程[9],微信文章数据,SN=22255，没有文章内容，已剔除
2018-01-15 13:36:59,660 [9] INFO  BaseLog [(null)] - 更新这些微信Weixin_ArticleInfo表中的主键ID[22255],的状态为：2
2018-01-15 13:37:05,465 [9] INFO  BaseLog [(null)] - 当前线程[9],微信文章数据,目前循环到第3个，总共需要3条数据要清洗
2018-01-15 13:37:08,776 [9] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/2iaRY1sj2SbKfTfQ1e2NEh8OQk9NcykEErLdYTJTkG81wRBNqibq2SQa2baDhIxzTDXuazvS9I8MF6hIictzNpDzw/0?wx_fmt=jpeg]---------开始
