2016-08-03 09:19:24,922 [1] INFO  Holly--[44984] [(null)] - [登录窗口]btnLogin_Click Begin...
2016-08-03 09:19:24,983 [1] INFO  Holly--[44984] [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-08-03 09:19:25,139 [1] INFO  Holly--[44984] [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-08-03 09:19:25,139 [1] INFO  Holly--[44984] [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-08-03 09:19:25,140 [1] INFO  Holly--[44984] [(null)] - [登录窗口]btnLogin_Click End
2016-08-03 09:19:25,198 [1] INFO  Holly--[44984] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=5308417)程序状态(PS01_就绪)
2016-08-03 09:19:25,219 [1] INFO  Holly--[44984] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-08-03 09:19:25,270 [1] INFO  Holly--[44984] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=1245185)程序状态(PS01_就绪)
2016-08-03 09:19:25,272 [1] INFO  Holly--[44984] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=1638401)程序状态(PS01_就绪)
2016-08-03 09:19:25,274 [1] INFO  Holly--[44984] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=851969)程序状态(PS01_就绪)
2016-08-03 09:19:25,279 [1] INFO  Holly--[44984] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=851970)程序状态(PS01_就绪)
2016-08-03 09:19:25,279 [1] INFO  Holly--[44984] [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
2016-08-03 09:19:25,288 [1] INFO  Holly--[44984] [(null)] - [登录登出模块] Login ( masj, *** , 35197 ) 
2016-08-03 09:19:25,289 [1] INFO  Holly--[44984] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2016-08-03 09:19:25,354 [1] INFO  Holly--[44984] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2016-08-03 09:19:31,122 [1] INFO  Holly--[44984] [(null)] - [登录登出模块] InitLoginUser() Begin...
2016-08-03 09:19:35,988 [1] INFO  Holly--[44984] [(null)] - [登录登出模块] InitLoginUser() 客服登录...AgentID is:10658,AgentNum is:13001,GroupName is:惠买车支持部（IM）,OutNum is:97
2016-08-03 09:19:35,988 [1] INFO  Holly--[44984] [(null)] - [登录登出模块] InitLoginUser() End...
2016-08-03 09:19:36,181 [1] INFO  Holly--[44984] [(null)] - [HollyContactHelper]用户操作==添加技能组->1099 3
2016-08-03 09:19:36,181 [1] INFO  Holly--[44984] [(null)] - [HollyContactHelper]用户操作==添加技能组->1094 3
2016-08-03 09:19:36,181 [1] INFO  Holly--[44984] [(null)] - [HollyContactHelper]用户操作==添加技能组->1096 3
2016-08-03 09:19:36,220 [1] INFO  Holly--[44984] [(null)] - [HollyContactHelper]用户操作==签入->True
2016-08-03 09:19:36,307 [1] INFO  Holly--[44984] [(null)] - [登录登出模块] InsertAgentState()更新退出时间....norecord
2016-08-03 09:19:36,332 [1] INFO  Holly--[44984] [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:9
2016-08-03 09:19:36,332 [1] INFO  Holly--[44984] [(null)] - [登录登出模块] Login(masj, pwd, 35197) End.
2016-08-03 09:19:36,851 [1] INFO  Holly--[44984] [(null)] - [InitMainForm] 开始验证监控权限
2016-08-03 09:19:36,935 [1] INFO  Holly--[44984] [(null)] - [InitMainForm] 有 监控权限
2016-08-03 09:19:29,013 [1] INFO  Holly--[44984] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(座席签入成功)程序状态(PS01_就绪)
2016-08-03 09:19:29,045 [1] INFO  Holly--[44984] [(null)] - [事件][OnSignInSuccess] 签入成功事件
2016-08-03 09:19:29,068 [1] INFO  Holly--[44984] [(null)] - [登录登出模块] InsertAgentState()更新退出时间....initmsg
2016-08-03 09:19:29,081 [1] INFO  Holly--[44984] [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:10
2016-08-03 09:19:29,084 [1] INFO  Holly--[44984] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：2；CurStatusName：置忙；)厂家消息(状态改变：准备就绪状态-->置忙)程序状态(PS04_置忙)
2016-08-03 09:19:29,086 [1] INFO  Holly--[44984] [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS01_就绪(0) -> PS04_置忙(2)
2016-08-03 09:19:29,117 [1] INFO  Holly--[44984] [(null)] - [HollyContactHelper]用户操作==置闲->True
2016-08-03 09:19:29,372 [1] INFO  Holly--[44984] [(null)] - [HollyContactHelper]用户操作==休息(BS0_自动)->True
2016-08-03 09:19:29,372 [1] INFO  Holly--[44984] [(null)] - [事件][AxUniSoftPhone_OnStatusChange] 状态变化事件
2016-08-03 09:19:29,375 [1] INFO  Holly--[44984] [(null)] - [Main][SetMainStatus]设置状态：PS04_置忙(BS0_自动)
2016-08-03 09:19:29,727 [1] INFO  Holly--[44984] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(状态改变：置忙-->空闲)程序状态(PS03_置闲)
2016-08-03 09:19:29,727 [1] INFO  Holly--[44984] [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS04_置忙(2) -> PS03_置闲(1)
2016-08-03 09:19:29,727 [1] INFO  Holly--[44984] [(null)] - [事件][AxUniSoftPhone_OnStatusChange] 状态变化事件
2016-08-03 09:19:29,727 [1] INFO  Holly--[44984] [(null)] - [Main][SetMainStatus]设置状态：PS03_置闲
