2016-08-02 09:37:32,701 [1] INFO  Holly--[51216] [(null)] - [登录窗口]btnLogin_Click Begin...
2016-08-02 09:37:32,966 [1] INFO  Holly--[51216] [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN36997,选择的SIPServerIP为：192.168.112.200
2016-08-02 09:37:33,704 [1] INFO  Holly--[51216] [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-08-02 09:37:33,704 [1] INFO  Holly--[51216] [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-08-02 09:37:33,704 [1] INFO  Holly--[51216] [(null)] - [登录窗口]btnLogin_Click End
2016-08-02 09:37:33,806 [1] INFO  Holly--[51216] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=3997697)程序状态(PS01_就绪)
2016-08-02 09:37:33,826 [1] INFO  Holly--[51216] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-08-02 09:37:33,882 [1] INFO  Holly--[51216] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=1245185)程序状态(PS01_就绪)
2016-08-02 09:37:33,887 [1] INFO  Holly--[51216] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=1638401)程序状态(PS01_就绪)
2016-08-02 09:37:33,889 [1] INFO  Holly--[51216] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=851969)程序状态(PS01_就绪)
2016-08-02 09:37:33,891 [1] INFO  Holly--[51216] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=851970)程序状态(PS01_就绪)
2016-08-02 09:37:33,891 [1] INFO  Holly--[51216] [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
2016-08-02 09:37:34,007 [1] INFO  Holly--[51216] [(null)] - [登录登出模块] Login ( masj, *** , 36997 ) 
2016-08-02 09:37:34,009 [1] INFO  Holly--[51216] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2016-08-02 09:37:34,225 [1] INFO  Holly--[51216] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2016-08-02 09:37:37,902 [1] INFO  Holly--[51216] [(null)] - [登录登出模块] InitLoginUser() Begin...
2016-08-02 09:38:11,226 [1] INFO  Holly--[51216] [(null)] - [登录登出模块] InitLoginUser() 客服登录...AgentID is:10658,AgentNum is:13001,GroupName is:惠买车支持部（IM）,OutNum is:97
2016-08-02 09:38:11,226 [1] INFO  Holly--[51216] [(null)] - [登录登出模块] InitLoginUser() End...
2016-08-02 09:38:12,022 [1] INFO  Holly--[51216] [(null)] - [HollyContactHelper]用户操作==添加技能组->1099 3
2016-08-02 09:38:12,022 [1] INFO  Holly--[51216] [(null)] - [HollyContactHelper]用户操作==添加技能组->1094 3
2016-08-02 09:38:12,022 [1] INFO  Holly--[51216] [(null)] - [HollyContactHelper]用户操作==添加技能组->1096 3
2016-08-02 09:38:12,525 [1] INFO  Holly--[51216] [(null)] - [HollyContactHelper]用户操作==签入->False
2016-08-02 09:37:41,010 [1] INFO  Holly--[51216] [(null)] - [^^^厂家错误通知^^^]OnError ：CTIErrorCode:1343225863   ErrorCode:1  ErrorDesc:Err_IContact_AgentDNNotExist
2016-08-02 09:37:48,456 [1] INFO  Holly--[51216] [(null)] - [登录窗口]btnLogin_Click Begin...
2016-08-02 09:37:48,458 [1] INFO  Holly--[51216] [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-08-02 09:37:48,951 [1] INFO  Holly--[51216] [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-08-02 09:37:48,951 [1] INFO  Holly--[51216] [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-08-02 09:37:48,951 [1] INFO  Holly--[51216] [(null)] - [登录窗口]btnLogin_Click End
2016-08-02 09:37:49,002 [1] INFO  Holly--[51216] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=4063233)程序状态(PS01_就绪)
2016-08-02 09:37:49,027 [1] INFO  Holly--[51216] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-08-02 09:37:49,083 [1] INFO  Holly--[51216] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=1245185)程序状态(PS01_就绪)
2016-08-02 09:37:49,087 [1] INFO  Holly--[51216] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=1638401)程序状态(PS01_就绪)
2016-08-02 09:37:49,089 [1] INFO  Holly--[51216] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=851969)程序状态(PS01_就绪)
2016-08-02 09:37:49,091 [1] INFO  Holly--[51216] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=851970)程序状态(PS01_就绪)
2016-08-02 09:37:49,091 [1] INFO  Holly--[51216] [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
2016-08-02 09:37:49,091 [1] INFO  Holly--[51216] [(null)] - [登录登出模块] Login ( masj, *** , 35197 ) 
2016-08-02 09:37:49,091 [1] INFO  Holly--[51216] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2016-08-02 09:37:49,133 [1] INFO  Holly--[51216] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2016-08-02 09:37:49,133 [1] INFO  Holly--[51216] [(null)] - [登录登出模块] InitLoginUser() Begin...
