2016-07-11 11:17:20,403 [1] INFO  Holly--[46056] [(null)] - [登录窗口]btnLogin_Click Begin...
2016-07-11 11:17:20,657 [1] INFO  Holly--[46056] [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-07-11 11:17:21,452 [1] INFO  Holly--[46056] [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-07-11 11:17:21,452 [1] INFO  Holly--[46056] [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-07-11 11:17:21,452 [1] INFO  Holly--[46056] [(null)] - [登录窗口]btnLogin_Click End
2016-07-11 11:17:21,509 [1] INFO  Holly--[46056] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=9961473)程序状态(PS01_就绪)
2016-07-11 11:17:21,544 [1] INFO  Holly--[46056] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-07-11 11:17:21,608 [1] INFO  Holly--[46056] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=655361)程序状态(PS01_就绪)
2016-07-11 11:17:21,610 [1] INFO  Holly--[46056] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=1572865)程序状态(PS01_就绪)
2016-07-11 11:17:21,612 [1] INFO  Holly--[46056] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=196609)程序状态(PS01_就绪)
2016-07-11 11:17:21,614 [1] INFO  Holly--[46056] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=196610)程序状态(PS01_就绪)
2016-07-11 11:17:21,614 [1] INFO  Holly--[46056] [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
2016-07-11 11:17:21,680 [1] INFO  Holly--[46056] [(null)] - [登录登出模块] Login ( masj, *** , 35197 ) 
2016-07-11 11:17:21,682 [1] INFO  Holly--[46056] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2016-07-11 11:17:22,428 [1] INFO  Holly--[46056] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2016-07-11 11:17:25,075 [1] INFO  Holly--[46056] [(null)] - [登录登出模块] InitLoginUser() Begin...
2016-07-11 11:17:48,997 [1] INFO  Holly--[46056] [(null)] - [登录登出模块] InitLoginUser() 客服登录...AgentID is:10658,AgentNum is:13001,GroupName is:商城运营支持部（IM）,OutNum is:89
2016-07-11 11:17:48,997 [1] INFO  Holly--[46056] [(null)] - [登录登出模块] InitLoginUser() End...
2016-07-11 11:17:50,234 [1] INFO  Holly--[46056] [(null)] - [HollyContactHelper]用户操作==添加技能组->1099 3
2016-07-11 11:17:50,234 [1] INFO  Holly--[46056] [(null)] - [HollyContactHelper]用户操作==添加技能组->1094 3
2016-07-11 11:17:50,234 [1] INFO  Holly--[46056] [(null)] - [HollyContactHelper]用户操作==添加技能组->1096 3
2016-07-11 11:17:50,272 [1] INFO  Holly--[46056] [(null)] - [HollyContactHelper]用户操作==签入->True
2016-07-11 11:17:50,388 [1] INFO  Holly--[46056] [(null)] - [登录登出模块] InsertAgentState()更新退出时间....norecord
2016-07-11 11:17:50,454 [1] INFO  Holly--[46056] [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:61
2016-07-11 11:17:50,454 [1] INFO  Holly--[46056] [(null)] - [登录登出模块] Login(masj, pwd, 35197) End.
2016-07-11 11:17:51,379 [1] INFO  Holly--[46056] [(null)] - [InitMainForm] 开始验证监控权限
2016-07-11 11:17:51,499 [1] INFO  Holly--[46056] [(null)] - [InitMainForm] 有 监控权限
2016-07-11 11:17:21,028 [1] INFO  Holly--[46056] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(座席签入成功)程序状态(PS01_就绪)
2016-07-11 11:17:21,074 [1] INFO  Holly--[46056] [(null)] - [事件][OnSignInSuccess] 签入成功事件
2016-07-11 11:17:21,088 [1] INFO  Holly--[46056] [(null)] - [登录登出模块] InsertAgentState()更新退出时间....initmsg
2016-07-11 11:17:21,095 [1] INFO  Holly--[46056] [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:62
2016-07-11 11:17:21,096 [1] INFO  Holly--[46056] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：2；CurStatusName：置忙；)厂家消息(状态改变：准备就绪状态-->置忙)程序状态(PS04_置忙)
2016-07-11 11:17:21,097 [1] INFO  Holly--[46056] [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS01_就绪(0) -> PS04_置忙(2)
2016-07-11 11:17:21,125 [1] INFO  Holly--[46056] [(null)] - [HollyContactHelper]用户操作==置闲->True
2016-07-11 11:17:21,376 [1] INFO  Holly--[46056] [(null)] - [HollyContactHelper]用户操作==休息(BS0_自动)->True
2016-07-11 11:17:21,377 [1] INFO  Holly--[46056] [(null)] - [事件][AxUniSoftPhone_OnStatusChange] 状态变化事件
2016-07-11 11:17:21,495 [1] INFO  Holly--[46056] [(null)] - [Main][SetMainStatus]设置状态：PS04_置忙(BS0_自动)
2016-07-11 11:17:21,557 [1] INFO  Holly--[46056] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(状态改变：置忙-->空闲)程序状态(PS03_置闲)
2016-07-11 11:17:21,557 [1] INFO  Holly--[46056] [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS04_置忙(2) -> PS03_置闲(1)
2016-07-11 11:17:21,557 [1] INFO  Holly--[46056] [(null)] - [事件][AxUniSoftPhone_OnStatusChange] 状态变化事件
2016-07-11 11:17:21,557 [1] INFO  Holly--[46056] [(null)] - [Main][SetMainStatus]设置状态：PS03_置闲
2016-07-11 11:17:21,567 [1] INFO  Holly--[46056] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(状态改变：空闲-->休息)程序状态(PS05_休息)
2016-07-11 11:17:21,567 [1] INFO  Holly--[46056] [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS03_置闲(1) -> PS05_休息(16)
