2016-04-06 18:45:37,467 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click Begin...
2016-04-06 18:45:37,619 [1] INFO  Holly- [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-04-06 18:45:38,307 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-04-06 18:45:38,307 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-04-06 18:45:38,307 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click End
2016-04-06 18:45:38,406 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=56098817)程序状态(PS01_就绪)
2016-04-06 18:45:38,428 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-04-06 18:45:38,483 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=720897)程序状态(PS01_就绪)
2016-04-06 18:45:38,486 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=131073)程序状态(PS01_就绪)
2016-04-06 18:45:38,489 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=327681)程序状态(PS01_就绪)
2016-04-06 18:45:38,491 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=327682)程序状态(PS01_就绪)
2016-04-06 18:45:38,491 [1] INFO  Holly- [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
2016-04-06 18:45:38,514 [1] INFO  Holly- [(null)] - [登录登出模块] Login ( masj, *** , 35197 ) 
2016-04-06 18:45:38,516 [1] INFO  Holly- [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2016-04-06 18:45:38,696 [1] INFO  Holly- [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2016-04-06 18:45:40,174 [1] INFO  Holly- [(null)] - [登录登出模块] InitLoginUser() Begin...
2016-04-06 18:45:52,845 [1] INFO  Holly- [(null)] - [登录登出模块] InitLoginUser() 客服登录...AgentID is:10658,AgentNum is:13001,GroupName is:电商运营支持部--商城组,OutNum is:86
2016-04-06 18:45:52,845 [1] INFO  Holly- [(null)] - [登录登出模块] InitLoginUser() End...
2016-04-06 18:45:53,933 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==添加技能组->1099 3
2016-04-06 18:45:53,933 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==添加技能组->1094 3
2016-04-06 18:45:53,933 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==添加技能组->1096 3
2016-04-06 18:45:53,969 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==签入->True
2016-04-06 18:45:54,087 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()更新退出时间....norecord
2016-04-06 18:45:54,118 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:176
2016-04-06 18:45:54,118 [1] INFO  Holly- [(null)] - [登录登出模块] Login(masj, pwd, 35197) End.
2016-04-06 18:45:54,865 [1] INFO  Holly- [(null)] - [InitMainForm] 开始验证监控权限
2016-04-06 18:45:54,942 [1] INFO  Holly- [(null)] - [InitMainForm] 有 监控权限
2016-04-06 18:45:48,006 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(座席签入成功)程序状态(PS01_就绪)
2016-04-06 18:45:48,051 [1] INFO  Holly- [(null)] - [事件][OnSignInSuccess] 签入成功事件
