2016-05-20 15:53:54,519 [1] INFO  Holly--[39732] [(null)] - [登录窗口]btnLogin_Click Begin...
2016-05-20 15:53:54,715 [1] INFO  Holly--[39732] [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-05-20 15:53:54,894 [1] INFO  Holly--[39732] [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-05-20 15:53:54,894 [1] INFO  Holly--[39732] [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-05-20 15:53:54,895 [1] INFO  Holly--[39732] [(null)] - [登录窗口]btnLogin_Click End
2016-05-20 15:53:54,959 [1] INFO  Holly--[39732] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=31457281)程序状态(PS01_就绪)
2016-05-20 15:53:54,983 [1] INFO  Holly--[39732] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-05-20 15:53:55,042 [1] INFO  Holly--[39732] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=655361)程序状态(PS01_就绪)
2016-05-20 15:53:55,044 [1] INFO  Holly--[39732] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=983041)程序状态(PS01_就绪)
2016-05-20 15:53:55,046 [1] INFO  Holly--[39732] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=262145)程序状态(PS01_就绪)
2016-05-20 15:53:55,048 [1] INFO  Holly--[39732] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=262146)程序状态(PS01_就绪)
2016-05-20 15:53:55,048 [1] INFO  Holly--[39732] [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
2016-05-20 15:53:55,083 [1] INFO  Holly--[39732] [(null)] - [登录登出模块] Login ( masj, *** , 35197 ) 
2016-05-20 15:53:55,085 [1] INFO  Holly--[39732] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2016-05-20 15:53:55,240 [1] INFO  Holly--[39732] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2016-05-20 15:53:55,626 [1] INFO  Holly--[39732] [(null)] - [登录登出模块] InitLoginUser() Begin...
2016-05-20 15:53:58,677 [1] INFO  Holly--[39732] [(null)] - [登录登出模块] InitLoginUser() 客服登录...AgentID is:10658,AgentNum is:11897,GroupName is:测试测试测试,OutNum is:86
2016-05-20 15:53:58,677 [1] INFO  Holly--[39732] [(null)] - [登录登出模块] InitLoginUser() End...
2016-05-20 15:53:59,299 [1] INFO  Holly--[39732] [(null)] - [HollyContactHelper]用户操作==添加技能组->1094 2
2016-05-20 15:53:59,299 [1] INFO  Holly--[39732] [(null)] - [HollyContactHelper]用户操作==添加技能组->1095 1
2016-05-20 15:53:59,339 [1] INFO  Holly--[39732] [(null)] - [HollyContactHelper]用户操作==签入->True
2016-05-20 15:54:00,192 [1] INFO  Holly--[39732] [(null)] - [登录登出模块] InsertAgentState()更新退出时间....norecord
2016-05-20 15:54:00,662 [1] INFO  Holly--[39732] [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:1
2016-05-20 15:54:00,662 [1] INFO  Holly--[39732] [(null)] - [登录登出模块] Login(masj, pwd, 35197) End.
2016-05-20 15:54:01,499 [1] INFO  Holly--[39732] [(null)] - [InitMainForm] 开始验证监控权限
2016-05-20 15:54:01,933 [1] INFO  Holly--[39732] [(null)] - [InitMainForm] 有 监控权限
2016-05-20 15:53:55,007 [1] INFO  Holly--[39732] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(座席签入成功)程序状态(PS01_就绪)
2016-05-20 15:53:55,056 [1] INFO  Holly--[39732] [(null)] - [事件][OnSignInSuccess] 签入成功事件
2016-05-20 15:53:55,437 [1] INFO  Holly--[39732] [(null)] - [登录登出模块] InsertAgentState()更新退出时间....initmsg
2016-05-20 15:53:55,447 [1] INFO  Holly--[39732] [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:2
2016-05-20 15:53:55,450 [1] INFO  Holly--[39732] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：2；CurStatusName：置忙；)厂家消息(状态改变：准备就绪状态-->置忙)程序状态(PS04_置忙)
2016-05-20 15:53:55,451 [1] INFO  Holly--[39732] [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS01_就绪(0) -> PS04_置忙(2)
2016-05-20 15:53:55,485 [1] INFO  Holly--[39732] [(null)] - [HollyContactHelper]用户操作==置闲->True
2016-05-20 15:53:55,742 [1] INFO  Holly--[39732] [(null)] - [HollyContactHelper]用户操作==休息(BS0_自动)->True
2016-05-20 15:53:55,743 [1] INFO  Holly--[39732] [(null)] - [事件][AxUniSoftPhone_OnStatusChange] 状态变化事件
2016-05-20 15:53:55,744 [1] INFO  Holly--[39732] [(null)] - [Main][SetMainStatus]设置状态：PS04_置忙(BS0_自动)
