2016-08-10 12:08:53,792 [1] INFO  Holly--[8140] [(null)] - [登录窗口]btnLogin_Click Begin...
2016-08-10 12:08:53,892 [1] INFO  Holly--[8140] [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-08-10 12:08:54,205 [1] INFO  Holly--[8140] [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-08-10 12:08:54,206 [1] INFO  Holly--[8140] [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-08-10 12:08:54,206 [1] INFO  Holly--[8140] [(null)] - [登录窗口]btnLogin_Click End
2016-08-10 12:08:54,264 [1] INFO  Holly--[8140] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=14090241)程序状态(PS01_就绪)
2016-08-10 12:08:54,285 [1] INFO  Holly--[8140] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-08-10 12:08:54,353 [1] INFO  Holly--[8140] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=1245185)程序状态(PS01_就绪)
2016-08-10 12:08:54,356 [1] INFO  Holly--[8140] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=1638401)程序状态(PS01_就绪)
2016-08-10 12:08:54,358 [1] INFO  Holly--[8140] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=851969)程序状态(PS01_就绪)
2016-08-10 12:08:54,359 [1] INFO  Holly--[8140] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=851970)程序状态(PS01_就绪)
2016-08-10 12:08:54,360 [1] INFO  Holly--[8140] [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
2016-08-10 12:08:54,395 [1] INFO  Holly--[8140] [(null)] - [登录登出模块] Login ( masj, *** , 35197 ) 
2016-08-10 12:08:54,396 [1] INFO  Holly--[8140] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2016-08-10 12:08:54,460 [1] INFO  Holly--[8140] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2016-08-10 12:08:55,417 [1] INFO  Holly--[8140] [(null)] - [登录登出模块] InitLoginUser() Begin...
2016-08-10 12:08:59,852 [1] INFO  Holly--[8140] [(null)] - [登录登出模块] InitLoginUser() 客服登录...AgentID is:10658,AgentNum is:1897,GroupName is:综合管理组（北京）,OutNum is:98
2016-08-10 12:08:59,852 [1] INFO  Holly--[8140] [(null)] - [登录登出模块] InitLoginUser() End...
2016-08-10 12:09:00,128 [1] INFO  Holly--[8140] [(null)] - [HollyContactHelper]用户操作==添加技能组->1099 3
2016-08-10 12:09:00,128 [1] INFO  Holly--[8140] [(null)] - [HollyContactHelper]用户操作==添加技能组->1096 3
2016-08-10 12:09:00,165 [1] INFO  Holly--[8140] [(null)] - [HollyContactHelper]用户操作==签入->True
2016-08-10 12:09:00,263 [1] INFO  Holly--[8140] [(null)] - [登录登出模块] InsertAgentState()更新退出时间....norecord
