2016-07-20 17:24:12,750 [1] INFO  Holly--[46388] [(null)] - [登录窗口]btnLogin_Click Begin...
2016-07-20 17:24:12,879 [1] INFO  Holly--[46388] [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-07-20 17:24:13,516 [1] INFO  Holly--[46388] [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-07-20 17:24:13,517 [1] INFO  Holly--[46388] [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-07-20 17:24:13,517 [1] INFO  Holly--[46388] [(null)] - [登录窗口]btnLogin_Click End
2016-07-20 17:24:13,596 [1] INFO  Holly--[46388] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=1966081)程序状态(PS01_就绪)
2016-07-20 17:24:13,616 [1] INFO  Holly--[46388] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-07-20 17:24:13,670 [1] INFO  Holly--[46388] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=1245185)程序状态(PS01_就绪)
2016-07-20 17:24:13,673 [1] INFO  Holly--[46388] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=1638401)程序状态(PS01_就绪)
2016-07-20 17:24:13,676 [1] INFO  Holly--[46388] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=851969)程序状态(PS01_就绪)
2016-07-20 17:24:13,677 [1] INFO  Holly--[46388] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=851970)程序状态(PS01_就绪)
2016-07-20 17:24:13,677 [1] INFO  Holly--[46388] [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
2016-07-20 17:24:13,725 [1] INFO  Holly--[46388] [(null)] - [登录登出模块] Login ( masj, *** , 35197 ) 
2016-07-20 17:24:13,727 [1] INFO  Holly--[46388] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2016-07-20 17:24:13,803 [1] INFO  Holly--[46388] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2016-07-20 17:24:14,207 [1] INFO  Holly--[46388] [(null)] - [登录登出模块] InitLoginUser() Begin...
2016-07-20 17:24:19,688 [1] INFO  Holly--[46388] [(null)] - [登录登出模块] InitLoginUser() 客服登录...AgentID is:10658,AgentNum is:11897,GroupName is:测试测试测试,OutNum is:86
2016-07-20 17:24:19,688 [1] INFO  Holly--[46388] [(null)] - [登录登出模块] InitLoginUser() End...
2016-07-20 17:24:20,022 [1] INFO  Holly--[46388] [(null)] - [HollyContactHelper]用户操作==添加技能组->1094 2
2016-07-20 17:24:20,022 [1] INFO  Holly--[46388] [(null)] - [HollyContactHelper]用户操作==添加技能组->1095 1
2016-07-20 17:24:20,058 [1] INFO  Holly--[46388] [(null)] - [HollyContactHelper]用户操作==签入->True
2016-07-20 17:24:20,221 [1] INFO  Holly--[46388] [(null)] - [登录登出模块] InsertAgentState()更新退出时间....norecord
2016-07-20 17:24:20,363 [1] INFO  Holly--[46388] [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:1
2016-07-20 17:24:20,363 [1] INFO  Holly--[46388] [(null)] - [登录登出模块] Login(masj, pwd, 35197) End.
2016-07-20 17:24:21,017 [1] INFO  Holly--[46388] [(null)] - [InitMainForm] 开始验证监控权限
2016-07-20 17:24:21,105 [1] INFO  Holly--[46388] [(null)] - [InitMainForm] 有 监控权限
2016-07-20 17:24:12,016 [1] INFO  Holly--[46388] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(座席签入成功)程序状态(PS01_就绪)
2016-07-20 17:24:12,089 [1] INFO  Holly--[46388] [(null)] - [事件][OnSignInSuccess] 签入成功事件
2016-07-20 17:24:12,143 [1] INFO  Holly--[46388] [(null)] - [登录登出模块] InsertAgentState()更新退出时间....initmsg
2016-07-20 17:24:12,156 [1] INFO  Holly--[46388] [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:2
2016-07-20 17:24:12,158 [1] INFO  Holly--[46388] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：2；CurStatusName：置忙；)厂家消息(状态改变：准备就绪状态-->置忙)程序状态(PS04_置忙)
2016-07-20 17:24:12,160 [1] INFO  Holly--[46388] [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS01_就绪(0) -> PS04_置忙(2)
2016-07-20 17:24:12,193 [1] INFO  Holly--[46388] [(null)] - [HollyContactHelper]用户操作==置闲->True
2016-07-20 17:24:12,449 [1] INFO  Holly--[46388] [(null)] - [HollyContactHelper]用户操作==休息(BS0_自动)->True
2016-07-20 17:24:12,450 [1] INFO  Holly--[46388] [(null)] - [事件][AxUniSoftPhone_OnStatusChange] 状态变化事件
2016-07-20 17:24:12,452 [1] INFO  Holly--[46388] [(null)] - [Main][SetMainStatus]设置状态：PS04_置忙(BS0_自动)
2016-07-20 17:24:12,542 [1] INFO  Holly--[46388] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(状态改变：置忙-->空闲)程序状态(PS03_置闲)
