2016-07-26 15:53:29,545 [1] INFO  Holly--[46460] [(null)] - [登录窗口]btnLogin_Click Begin...
2016-07-26 15:53:28,516 [1] INFO  Holly--[46460] [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS04_置忙(2) -> PS03_置闲(1)
2016-07-26 15:53:28,516 [1] INFO  Holly--[46460] [(null)] - [事件][AxUniSoftPhone_OnStatusChange] 状态变化事件
2016-07-26 15:53:28,517 [1] INFO  Holly--[46460] [(null)] - [Main][SetMainStatus]设置状态：PS03_置闲
2016-07-26 15:53:28,524 [1] INFO  Holly--[46460] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(状态改变：空闲-->休息)程序状态(PS05_休息)
2016-07-26 15:53:28,524 [1] INFO  Holly--[46460] [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS03_置闲(1) -> PS05_休息(16)
2016-07-26 15:53:28,524 [1] INFO  Holly--[46460] [(null)] - [事件][AxUniSoftPhone_OnStatusChange] 状态变化事件
2016-07-26 15:53:28,524 [1] INFO  Holly--[46460] [(null)] - [Main][SetMainStatus]设置状态：PS05_休息
2016-07-26 15:53:31,309 [1] INFO  Holly--[46460] [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-07-26 15:53:31,312 [1] INFO  Holly--[46460] [(null)] - [Main][UpdatAgentDB] 更新客服状态表AS4_置忙
2016-07-26 15:53:31,825 [1] INFO  Holly--[46460] [(null)] - [Main][UpdatAgentDB] 插入CAgent表
2016-07-26 15:53:31,859 [1] INFO  Holly--[46460] [(null)] - [Main][UpdatAgentDB] 插入新的状态 PreOid....IS:96124
2016-07-26 15:53:31,860 [1] INFO  Holly--[46460] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(休息开始。)程序状态(PS05_休息)
2016-07-26 15:53:33,127 [1] INFO  Holly--[46460] [(null)] - [MainJs] [SendToWeb] 发送网页消息：0 次数，指定页面ID：WebPage00001
2016-07-26 15:53:33,130 [1] INFO  Holly--[46460] [(null)] - [MainUI] [SendMesToWeb] 获取到了当前指定webPageID的页面：WebPage00001
2016-07-26 15:53:33,132 [1] INFO  Holly--[46460] [(null)] - [MainJs] [SendMesToWeb] CTIEventMsg msg：UserEvent=Notice&Action=SaveWindowsName&Data=WebPage00001&outBoundType=-2
2016-07-26 15:53:33,333 [1] INFO  Holly--[46460] [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-07-26 15:53:33,333 [1] INFO  Holly--[46460] [(null)] - [Main][UpdatAgentDB] 更新客服状态表AS3_置闲
2016-07-26 15:53:33,390 [1] INFO  Holly--[46460] [(null)] - [Main][UpdatAgentDB] 更新上一个状态的结束时间 PreOid....IS:96124
2016-07-26 15:53:33,412 [1] INFO  Holly--[46460] [(null)] - [Main][UpdatAgentDB] 插入新的状态 PreOid....IS:96130
2016-07-26 15:53:33,412 [1] INFO  Holly--[46460] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(示闲成功。)程序状态(PS05_休息)
2016-07-26 15:53:33,423 [1] INFO  Holly--[46460] [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-07-26 15:53:33,423 [1] INFO  Holly--[46460] [(null)] - [Main][UpdatAgentDB] 更新客服状态表AS4_置忙
2016-07-26 15:53:33,424 [1] INFO  Holly--[46460] [(null)] - [Main][UpdatAgentDB] 更新上一个状态的结束时间 PreOid....IS:96130
2016-07-26 15:53:33,469 [1] INFO  Holly--[46460] [(null)] - [Main][UpdatAgentDB] 插入新的状态 PreOid....IS:96131
2016-07-26 15:53:33,469 [1] INFO  Holly--[46460] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(签入成功。)程序状态(PS05_休息)
2016-07-26 15:53:34,568 [1] INFO  Holly--[46460] [(null)] - [MainJs] [SendToWeb] 发送网页消息：0 次数，指定页面ID：WebPage00001
2016-07-26 15:53:34,568 [1] INFO  Holly--[46460] [(null)] - [MainUI] [SendMesToWeb] 获取到了当前指定webPageID的页面：WebPage00001
2016-07-26 15:53:34,569 [1] INFO  Holly--[46460] [(null)] - [MainJs] [SendMesToWeb] CTIEventMsg msg：UserEvent=Notice&Action=SaveWindowsName&Data=WebPage00001&outBoundType=-2
2016-07-26 15:53:38,019 [1] INFO  Holly--[46460] [(null)] - [登录登出模块] ExitLogin() Begin...
2016-07-26 15:53:38,074 [1] INFO  Holly--[46460] [(null)] - [登录登出模块]DeleteAgentStateToDB...客服退出时 LoginOnOid....IS:96107
2016-07-26 15:53:38,074 [1] INFO  Holly--[46460] [(null)] - [登录登出模块]DeleteAgentStateToDB...客服退出时 GetCurrentTime()....IS:2016-07-26 15:53:35
2016-07-26 15:53:38,075 [1] INFO  Holly--[46460] [(null)] - [登录登出模块]DeleteAgentStateToDB...退出成功....
2016-07-26 15:53:38,107 [1] INFO  Holly--[46460] [(null)] - [HollyContactHelper]用户操作==签出->True
2016-07-26 15:53:38,109 [1] INFO  Holly--[46460] [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:96131
2016-07-26 15:53:39,458 [1] INFO  Holly--[46460] [(null)] - [HollyContactHelper]用户操作==卸载->True
2016-07-26 15:53:39,458 [1] INFO  Holly--[46460] [(null)] - [登录登出模块] ExitLogin() End.
2016-07-26 15:54:20,592 [1] INFO  Holly--[12524] [(null)] - [登录窗口]btnLogin_Click Begin...
2016-07-26 15:54:20,654 [1] INFO  Holly--[12524] [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-07-26 15:54:20,877 [1] INFO  Holly--[12524] [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-07-26 15:54:20,877 [1] INFO  Holly--[12524] [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-07-26 15:54:20,877 [1] INFO  Holly--[12524] [(null)] - [登录窗口]btnLogin_Click End
2016-07-26 15:54:20,935 [1] INFO  Holly--[12524] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=2424833)程序状态(PS01_就绪)
2016-07-26 15:54:20,956 [1] INFO  Holly--[12524] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-07-26 15:54:21,006 [1] INFO  Holly--[12524] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=1245185)程序状态(PS01_就绪)
2016-07-26 15:54:21,009 [1] INFO  Holly--[12524] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=1638401)程序状态(PS01_就绪)
2016-07-26 15:54:21,011 [1] INFO  Holly--[12524] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=851969)程序状态(PS01_就绪)
2016-07-26 15:54:21,015 [1] INFO  Holly--[12524] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=851970)程序状态(PS01_就绪)
2016-07-26 15:54:21,015 [1] INFO  Holly--[12524] [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
2016-07-26 15:54:21,024 [1] INFO  Holly--[12524] [(null)] - [登录登出模块] Login ( masj, *** , 35197 ) 
2016-07-26 15:54:21,025 [1] INFO  Holly--[12524] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2016-07-26 15:54:21,095 [1] INFO  Holly--[12524] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2016-07-26 15:54:21,487 [1] INFO  Holly--[12524] [(null)] - [登录登出模块] InitLoginUser() Begin...
2016-07-26 15:54:41,159 [1] INFO  Holly--[12524] [(null)] - [登录登出模块] InitLoginUser() 客服登录...AgentID is:10658,AgentNum is:13001,GroupName is:惠买车支持部（IM）,OutNum is:97
2016-07-26 15:54:41,159 [1] INFO  Holly--[12524] [(null)] - [登录登出模块] InitLoginUser() End...
2016-07-26 15:54:42,240 [1] INFO  Holly--[12524] [(null)] - [HollyContactHelper]用户操作==添加技能组->1099 3
2016-07-26 15:54:42,241 [1] INFO  Holly--[12524] [(null)] - [HollyContactHelper]用户操作==添加技能组->1094 3
2016-07-26 15:54:42,241 [1] INFO  Holly--[12524] [(null)] - [HollyContactHelper]用户操作==添加技能组->1096 3
2016-07-26 15:54:42,277 [1] INFO  Holly--[12524] [(null)] - [HollyContactHelper]用户操作==签入->True
2016-07-26 15:54:42,897 [1] INFO  Holly--[12524] [(null)] - [登录登出模块] InsertAgentState()更新退出时间....norecord
2016-07-26 15:54:42,924 [1] INFO  Holly--[12524] [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:8
2016-07-26 15:54:42,924 [1] INFO  Holly--[12524] [(null)] - [登录登出模块] Login(masj, pwd, 35197) End.
2016-07-26 15:54:43,287 [1] INFO  Holly--[12524] [(null)] - [InitMainForm] 开始验证监控权限
2016-07-26 15:54:43,439 [1] INFO  Holly--[12524] [(null)] - [InitMainForm] 有 监控权限
2016-07-26 15:54:32,022 [1] INFO  Holly--[12524] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(座席签入成功)程序状态(PS01_就绪)
2016-07-26 15:54:32,053 [1] INFO  Holly--[12524] [(null)] - [事件][OnSignInSuccess] 签入成功事件
2016-07-26 15:54:32,072 [1] INFO  Holly--[12524] [(null)] - [登录登出模块] InsertAgentState()更新退出时间....initmsg
2016-07-26 15:54:32,080 [1] INFO  Holly--[12524] [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:9
2016-07-26 15:54:32,082 [1] INFO  Holly--[12524] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：2；CurStatusName：置忙；)厂家消息(状态改变：准备就绪状态-->置忙)程序状态(PS04_置忙)
2016-07-26 15:54:32,084 [1] INFO  Holly--[12524] [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS01_就绪(0) -> PS04_置忙(2)
2016-07-26 15:54:32,115 [1] INFO  Holly--[12524] [(null)] - [HollyContactHelper]用户操作==置闲->True
2016-07-26 15:54:32,369 [1] INFO  Holly--[12524] [(null)] - [HollyContactHelper]用户操作==休息(BS0_自动)->True
2016-07-26 15:54:32,369 [1] INFO  Holly--[12524] [(null)] - [事件][AxUniSoftPhone_OnStatusChange] 状态变化事件
2016-07-26 15:54:32,373 [1] INFO  Holly--[12524] [(null)] - [Main][SetMainStatus]设置状态：PS04_置忙(BS0_自动)
2016-07-26 15:54:32,387 [1] INFO  Holly--[12524] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：1；CurStatusName：空闲；)厂家消息(状态改变：置忙-->空闲)程序状态(PS03_置闲)
2016-07-26 15:54:32,387 [1] INFO  Holly--[12524] [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS04_置忙(2) -> PS03_置闲(1)
2016-07-26 15:54:32,387 [1] INFO  Holly--[12524] [(null)] - [事件][AxUniSoftPhone_OnStatusChange] 状态变化事件
2016-07-26 15:54:32,387 [1] INFO  Holly--[12524] [(null)] - [Main][SetMainStatus]设置状态：PS03_置闲
2016-07-26 15:54:32,396 [1] INFO  Holly--[12524] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(状态改变：空闲-->休息)程序状态(PS05_休息)
2016-07-26 15:54:32,396 [1] INFO  Holly--[12524] [(null)] - [>>>厂家状态变化<<<]OnStatusChange ：PS03_置闲(1) -> PS05_休息(16)
2016-07-26 15:54:32,396 [1] INFO  Holly--[12524] [(null)] - [事件][AxUniSoftPhone_OnStatusChange] 状态变化事件
2016-07-26 15:54:32,396 [1] INFO  Holly--[12524] [(null)] - [Main][SetMainStatus]设置状态：PS05_休息
2016-07-26 15:54:32,477 [1] INFO  Holly--[12524] [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-07-26 15:54:32,480 [1] INFO  Holly--[12524] [(null)] - [Main][UpdatAgentDB] 更新客服状态表AS4_置忙
2016-07-26 15:54:32,491 [1] INFO  Holly--[12524] [(null)] - [Main][UpdatAgentDB] 插入CAgent表
2016-07-26 15:54:32,522 [1] INFO  Holly--[12524] [(null)] - [Main][UpdatAgentDB] 插入新的状态 PreOid....IS:10
2016-07-26 15:54:32,523 [1] INFO  Holly--[12524] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(休息开始。)程序状态(PS05_休息)
2016-07-26 15:54:32,529 [1] INFO  Holly--[12524] [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-07-26 15:54:32,529 [1] INFO  Holly--[12524] [(null)] - [Main][UpdatAgentDB] 更新客服状态表AS3_置闲
2016-07-26 15:54:32,543 [1] INFO  Holly--[12524] [(null)] - [Main][UpdatAgentDB] 更新上一个状态的结束时间 PreOid....IS:10
2016-07-26 15:54:32,562 [1] INFO  Holly--[12524] [(null)] - [Main][UpdatAgentDB] 插入新的状态 PreOid....IS:11
2016-07-26 15:54:32,563 [1] INFO  Holly--[12524] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(示闲成功。)程序状态(PS05_休息)
2016-07-26 15:54:32,573 [1] INFO  Holly--[12524] [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-07-26 15:54:32,574 [1] INFO  Holly--[12524] [(null)] - [Main][UpdatAgentDB] 更新客服状态表AS4_置忙
2016-07-26 15:54:32,577 [1] INFO  Holly--[12524] [(null)] - [Main][UpdatAgentDB] 更新上一个状态的结束时间 PreOid....IS:11
2016-07-26 15:54:32,587 [1] INFO  Holly--[12524] [(null)] - [Main][UpdatAgentDB] 插入新的状态 PreOid....IS:12
2016-07-26 15:54:32,588 [1] INFO  Holly--[12524] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(签入成功。)程序状态(PS05_休息)
2016-07-26 15:54:45,165 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendToWeb] 发送网页消息：0 次数，指定页面ID：WebPage00001
2016-07-26 15:54:45,167 [1] INFO  Holly--[12524] [(null)] - [MainUI] [SendMesToWeb] 获取到了当前指定webPageID的页面：WebPage00001
2016-07-26 15:54:45,168 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendMesToWeb] CTIEventMsg msg：UserEvent=Notice&Action=SaveWindowsName&Data=WebPage00001&outBoundType=-2
2016-07-26 15:54:45,819 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendToWeb] 发送网页消息：0 次数，指定页面ID：WebPage00001
2016-07-26 15:54:45,819 [1] INFO  Holly--[12524] [(null)] - [MainUI] [SendMesToWeb] 获取到了当前指定webPageID的页面：WebPage00001
2016-07-26 15:54:45,819 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendMesToWeb] CTIEventMsg msg：UserEvent=Notice&Action=SaveWindowsName&Data=WebPage00001&outBoundType=-2
2016-07-26 15:54:47,587 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendToWeb] 发送网页消息：0 次数，指定页面ID：WebPage00001
2016-07-26 15:54:47,587 [1] INFO  Holly--[12524] [(null)] - [MainUI] [SendMesToWeb] 获取到了当前指定webPageID的页面：WebPage00001
2016-07-26 15:54:47,588 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendMesToWeb] CTIEventMsg msg：UserEvent=Notice&Action=SaveWindowsName&Data=WebPage00001&outBoundType=-2
2016-07-26 15:55:31,612 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 开始
2016-07-26 15:55:34,536 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 获取到请求数：0
2016-07-26 15:56:34,560 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 开始
2016-07-26 15:56:34,574 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 获取到请求数：0
2016-07-26 15:57:31,593 [1] INFO  Holly--[12524] [(null)] - [***MDBFileHelper***][AdditionalRecording] 补录数据
2016-07-26 15:57:34,589 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 开始
2016-07-26 15:57:34,601 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 获取到请求数：0
2016-07-26 15:58:34,616 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 开始
2016-07-26 15:58:34,628 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 获取到请求数：0
2016-07-26 15:59:31,560 [1] INFO  Holly--[12524] [(null)] - [Main]timer_LoginTime_Tick LoginOnOid=9
2016-07-26 15:59:34,648 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 开始
2016-07-26 15:59:34,658 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 获取到请求数：0
2016-07-26 16:00:32,271 [1] INFO  Holly--[12524] [(null)] - [***MDBFileHelper***][AdditionalRecording] 补录数据
2016-07-26 16:00:34,676 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 开始
2016-07-26 16:00:34,687 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 获取到请求数：0
2016-07-26 16:01:34,706 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 开始
2016-07-26 16:01:34,717 [1] INFO  Holly--[12524] [(null)] - [客户端推送日志信息] 获取到请求数：0
2016-07-26 16:02:13,844 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendToWeb] 发送网页消息：0 次数，指定页面ID：WebPage00001
2016-07-26 16:02:13,845 [1] INFO  Holly--[12524] [(null)] - [MainUI] [SendMesToWeb] 获取到了当前指定webPageID的页面：WebPage00001
2016-07-26 16:02:13,845 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendMesToWeb] CTIEventMsg msg：UserEvent=Notice&Action=SaveWindowsName&Data=WebPage00001&outBoundType=-2
2016-07-26 16:02:15,210 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendToWeb] 发送网页消息：0 次数，指定页面ID：WebPage00001
2016-07-26 16:02:15,210 [1] INFO  Holly--[12524] [(null)] - [MainUI] [SendMesToWeb] 获取到了当前指定webPageID的页面：WebPage00001
2016-07-26 16:02:15,211 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendMesToWeb] CTIEventMsg msg：UserEvent=Notice&Action=SaveWindowsName&Data=WebPage00001&outBoundType=-2
2016-07-26 16:02:16,789 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendToWeb] 发送网页消息：0 次数，指定页面ID：WebPage00001
2016-07-26 16:02:16,789 [1] INFO  Holly--[12524] [(null)] - [MainUI] [SendMesToWeb] 获取到了当前指定webPageID的页面：WebPage00001
2016-07-26 16:02:16,790 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendMesToWeb] CTIEventMsg msg：UserEvent=Notice&Action=SaveWindowsName&Data=WebPage00001&outBoundType=-2
2016-07-26 16:02:19,261 [1] INFO  Holly--[12524] [(null)] - [MainUI] [GetTabControlTabPagesCount] 可用页面数量=1
2016-07-26 16:02:19,514 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendToWeb] 发送网页消息：0 次数，指定页面ID：WebPage00001
2016-07-26 16:02:19,515 [1] INFO  Holly--[12524] [(null)] - [MainUI] [SendMesToWeb] 获取到了当前指定webPageID的页面：WebPage00001
2016-07-26 16:02:19,515 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendMesToWeb] CTIEventMsg msg：UserEvent=Notice&Action=SaveWindowsName&Data=WebPage00001&outBoundType=-2
2016-07-26 16:02:21,801 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendToWeb] 发送网页消息：0 次数，指定页面ID：WebPage00001
2016-07-26 16:02:21,801 [1] INFO  Holly--[12524] [(null)] - [MainUI] [SendMesToWeb] 获取到了当前指定webPageID的页面：WebPage00001
2016-07-26 16:02:21,802 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendMesToWeb] CTIEventMsg msg：UserEvent=Notice&Action=SaveWindowsName&Data=WebPage00001&outBoundType=-2
2016-07-26 16:02:25,576 [1] INFO  Holly--[12524] [(null)] - [MainUI] [GetTabControlTabPagesCount] 可用页面数量=1
2016-07-26 16:02:25,732 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendToWeb] 发送网页消息：0 次数，指定页面ID：WebPage00001
2016-07-26 16:02:25,733 [1] INFO  Holly--[12524] [(null)] - [MainUI] [SendMesToWeb] 获取到了当前指定webPageID的页面：WebPage00001
2016-07-26 16:02:25,733 [1] INFO  Holly--[12524] [(null)] - [MainJs] [SendMesToWeb] CTIEventMsg msg：UserEvent=Notice&Action=SaveWindowsName&Data=WebPage00001&outBoundType=-2
2016-07-26 16:02:26,594 [1] INFO  Holly--[12524] [(null)] - [登录登出模块] ExitLogin() Begin...
2016-07-26 16:02:26,732 [1] INFO  Holly--[12524] [(null)] - [登录登出模块]DeleteAgentStateToDB...客服退出时 LoginOnOid....IS:9
