2016-11-21 09:40:37,563 [1] INFO  Holly--[63780] [(null)] - [登录窗口]btnLogin_Click Begin...
2016-11-21 09:40:37,659 [1] INFO  Holly--[63780] [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-11-21 09:40:39,260 [1] INFO  Holly--[63780] [(null)] - [HollyContactHelper]用户操作==装载及初始化->False
2016-11-21 09:40:46,675 [1] INFO  Holly--[63780] [(null)] - [登录登出模块] ExitLogin() Begin...
2016-11-21 09:40:46,681 [1] INFO  Holly--[63780] [(null)] - [HollyContactHelper]用户操作==卸载->True
2016-11-21 09:40:46,682 [1] INFO  Holly--[63780] [(null)] - [登录登出模块] ExitLogin() End.
2016-11-21 09:40:59,975 [1] INFO  Holly--[19988] [(null)] - [登录窗口]btnLogin_Click Begin...
2016-11-21 09:41:00,047 [1] INFO  Holly--[19988] [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-11-21 09:41:00,248 [1] INFO  Holly--[19988] [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-11-21 09:41:00,248 [1] INFO  Holly--[19988] [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-11-21 09:41:00,248 [1] INFO  Holly--[19988] [(null)] - [登录窗口]btnLogin_Click End
2016-11-21 09:41:00,318 [1] INFO  Holly--[19988] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=2031617)程序状态(PS01_就绪)
2016-11-21 09:41:00,344 [1] INFO  Holly--[19988] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-11-21 09:41:00,382 [1] INFO  Holly--[19988] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=1507329)程序状态(PS01_就绪)
2016-11-21 09:41:00,421 [1] INFO  Holly--[19988] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=655361)程序状态(PS01_就绪)
2016-11-21 09:41:00,424 [1] INFO  Holly--[19988] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=262145)程序状态(PS01_就绪)
2016-11-21 09:41:00,428 [1] INFO  Holly--[19988] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=262146)程序状态(PS01_就绪)
2016-11-21 09:41:00,428 [1] INFO  Holly--[19988] [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
2016-11-21 09:41:00,437 [1] INFO  Holly--[19988] [(null)] - [登录登出模块] Login ( masj, *** , 35197 ) 
2016-11-21 09:41:00,439 [1] INFO  Holly--[19988] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2016-11-21 09:41:01,207 [1] INFO  Holly--[19988] [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2016-11-21 09:41:03,306 [1] INFO  Holly--[19988] [(null)] - [登录登出模块] InitLoginUser() Begin...
2016-11-21 09:41:59,034 [1] INFO  Holly--[19988] [(null)] - [登录登出模块] InitLoginUser() 客服登录...AgentID is:10658,AgentNum is:13001,GroupName is:惠买车支持部（IM）,OutNum is:97
2016-11-21 09:41:59,034 [1] INFO  Holly--[19988] [(null)] - [登录登出模块] InitLoginUser() End...
2016-11-21 09:42:00,583 [1] INFO  Holly--[19988] [(null)] - [HollyContactHelper]用户操作==添加技能组->1099 3
2016-11-21 09:42:00,583 [1] INFO  Holly--[19988] [(null)] - [HollyContactHelper]用户操作==添加技能组->1094 3
2016-11-21 09:42:00,583 [1] INFO  Holly--[19988] [(null)] - [HollyContactHelper]用户操作==添加技能组->1096 3
2016-11-21 09:42:00,626 [1] INFO  Holly--[19988] [(null)] - [HollyContactHelper]用户操作==签入->True
2016-11-21 09:42:00,665 [1] INFO  Holly--[19988] [(null)] - [======Common======] GetCurrentTime ：获取当前服务器时间：CC系统服务器时间：2016-11-21 09:42:00.644，客户端时间：2016-11-21 09:42:00.665，（生成）计算时间差(毫秒)：-21.0012
2016-11-21 09:42:02,342 [1] INFO  Holly--[19988] [(null)] - [登录登出模块] InsertAgentState()更新退出时间....norecord
2016-11-21 09:42:02,454 [1] INFO  Holly--[19988] [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:1
2016-11-21 09:42:02,454 [1] INFO  Holly--[19988] [(null)] - [登录登出模块] Login(masj, pwd, 35197) End.
2016-11-21 09:42:03,601 [1] INFO  Holly--[19988] [(null)] - [InitMainForm] 开始验证监控权限
2016-11-21 09:42:03,711 [1] INFO  Holly--[19988] [(null)] - [InitMainForm] 有 监控权限
2016-11-21 09:41:00,013 [1] INFO  Holly--[19988] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(座席签入成功)程序状态(PS01_就绪)
