2016-04-27 18:22:28,500 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:9
2016-04-27 18:22:28,506 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-27 18:22:28,539 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(休息开始。)程序状态(PS05_休息)
2016-04-27 18:22:28,558 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:9
2016-04-27 18:22:28,937 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:10
2016-04-27 18:22:28,938 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-27 18:22:28,938 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(示闲成功。)程序状态(PS05_休息)
2016-04-27 18:22:28,951 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:10
2016-04-27 18:22:29,613 [1] INFO  Holly- [(null)] - [Main] 插入新的状态 PreOid....IS:11
2016-04-27 18:22:29,614 [1] INFO  Holly- [(null)] - [HollyContactHelper] 获取厂家信息 ==落地号码->
2016-04-27 18:22:29,614 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：16；CurStatusName：休息；)厂家消息(签入成功。)程序状态(PS05_休息)
2016-04-27 18:22:36,914 [1] INFO  Holly- [(null)] - [登录登出模块] ExitLogin() Begin...
2016-04-27 18:22:37,305 [1] INFO  Holly- [(null)] - [登录登出模块]DeleteAgentStateToDB...客服退出时 LoginOnOid....IS:8
2016-04-27 18:22:37,306 [1] INFO  Holly- [(null)] - [登录登出模块]DeleteAgentStateToDB...客服退出时 GetCurrentTime()....IS:2016-04-27 18:22:36
2016-04-27 18:22:37,307 [1] INFO  Holly- [(null)] - [登录登出模块]DeleteAgentStateToDB...退出成功....
2016-04-27 18:22:37,809 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==签出->True
2016-04-27 18:22:37,814 [1] INFO  Holly- [(null)] - [Main] 更新上一个状态的结束时间 PreOid....IS:11
2016-04-27 18:22:39,103 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==卸载->True
2016-04-27 18:22:39,103 [1] INFO  Holly- [(null)] - [登录登出模块] ExitLogin() End.
2016-04-27 18:23:03,048 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click Begin...
2016-04-27 18:23:03,107 [1] INFO  Holly- [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-04-27 18:23:03,261 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-04-27 18:23:03,261 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-04-27 18:23:03,261 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click End
2016-04-27 18:23:03,322 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=9371649)程序状态(PS01_就绪)
2016-04-27 18:23:03,345 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-04-27 18:23:03,411 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=655361)程序状态(PS01_就绪)
2016-04-27 18:23:03,413 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=983041)程序状态(PS01_就绪)
2016-04-27 18:23:03,415 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=262145)程序状态(PS01_就绪)
2016-04-27 18:23:03,417 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=262146)程序状态(PS01_就绪)
2016-04-27 18:23:03,417 [1] INFO  Holly- [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
2016-04-27 18:23:03,426 [1] INFO  Holly- [(null)] - [登录登出模块] Login ( masj, *** , 35197 ) 
2016-04-27 18:23:03,428 [1] INFO  Holly- [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2016-04-27 18:23:03,470 [1] INFO  Holly- [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2016-04-27 18:23:03,856 [1] INFO  Holly- [(null)] - [登录登出模块] InitLoginUser() Begin...
2016-04-27 18:23:05,857 [1] INFO  Holly- [(null)] - [登录登出模块] InitLoginUser() 客服登录...AgentID is:10658,AgentNum is:11897,GroupName is:测试测试测试,OutNum is:86
2016-04-27 18:23:05,857 [1] INFO  Holly- [(null)] - [登录登出模块] InitLoginUser() End...
2016-04-27 18:23:06,383 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==添加技能组->1094 2
2016-04-27 18:23:06,383 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==添加技能组->1095 1
2016-04-27 18:23:06,422 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==签入->True
2016-04-27 18:23:07,552 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()更新退出时间....initmsg
2016-04-27 18:23:07,919 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:13
2016-04-27 18:23:07,919 [1] INFO  Holly- [(null)] - [登录登出模块] Login(masj, pwd, 35197) End.
2016-04-27 18:23:08,246 [1] INFO  Holly- [(null)] - [InitMainForm] 开始验证监控权限
2016-04-27 18:23:08,290 [1] INFO  Holly- [(null)] - [InitMainForm] 有 监控权限
2016-04-27 18:23:16,011 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(座席签入成功)程序状态(PS01_就绪)
2016-04-27 18:23:16,045 [1] INFO  Holly- [(null)] - [事件][OnSignInSuccess] 签入成功事件
2016-04-27 18:23:16,079 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()更新退出时间....success [LoginOnOid=13]
2016-04-27 18:23:16,130 [1] INFO  Holly- [(null)] - [登录登出模块] InsertAgentState()登录状态LoginOnOid....is:14
