2018-06-14 10:01:13,493 [4] INFO  BaseLog [(null)] - 给用户UserID=1747,openid=ohvZzwETok2JxMPakpXjU56QFaKE,appid=wxf0eea6fec2756b45,tempID=kq9axyB6oKNKm6SSfuMVu5bD19oSbNjUewfFtUyUlgM,tempName=收益到账提醒,发送模板消息=成功
2018-06-14 10:01:24,746 [4] INFO  BaseLog [(null)] - 发送模板消息全部完成，待发送6个,其中成功6个，失败0个
2018-06-14 10:03:06,858 [8] INFO  BaseLog [(null)] - 统计微信数据-----服务开始
2018-06-14 10:08:04,382 [10] INFO  BaseLog [(null)] - 统计微信数据-----服务开始
2018-06-14 10:08:22,339 [10] INFO  BaseLog [(null)] - 统计微信数据-----服务开始
2018-06-14 15:54:16,628 [10] INFO  BaseLog [(null)] - 统计微信数据-----服务开始
2018-06-14 15:56:14,631 [6] INFO  BaseLog [(null)] - 发送模板消息完成，appId=wxcb2e6df384a17985,openId=o1dM_1vmJlOnFDv8SVqPAdjpwQUM,templateId=GEsyIclBtd9FHLbM7bnMguZbX6tSGn7i21sZIwCVySY,url=http://wxs2.87rvoeg95.cn/activityManager/index.html, objData={"first":{"value":"恭喜您注册成功！今日特别送上3次抽奖机会，最高100%中奖，千元现金红包在等你！","color":"#173177"},"keyword1":{"value":"seay","color":"#173177"},"keyword2":{"value":"2018-06-14 03:31:50","color":"#173177"},"remark":{"value":"抽奖机会将在今晚24点前失效，点击立即参与>>","color":"#173177"}},result={"msgid":324987048006008832,"errcode":0,"ErrorCodeValue":0,"errmsg":"ok","P2PData":null}
2018-06-14 15:56:19,266 [6] INFO  BaseLog [(null)] - 给用户UserID=169601,openid=o1dM_1vmJlOnFDv8SVqPAdjpwQUM,appid=wxcb2e6df384a17985,tempID=GEsyIclBtd9FHLbM7bnMguZbX6tSGn7i21sZIwCVySY,tempName=注册成功通知,发送模板消息=成功
2018-06-14 15:56:33,496 [6] INFO  BaseLog [(null)] - 发送模板消息完成，appId=wx03fdfd49674e8b9e,openId=ou6tm00MqHt77I_C5Pcp3YPKdEuo,templateId=9ug9blgXDErfVXvwfbVGrP4B1A5cIi74Lj1vWu2ixdQ,url=http://wxs2.42gcsum31.cn/activityManager/index.html, objData={"first":{"value":"恭喜您注册成功！今日特别送上3次抽奖机会，最高100%中奖，千元现金红包在等你！","color":"#173177"},"keyword1":{"value":"seay","color":"#173177"},"keyword2":{"value":"2018-06-14 02:24:14","color":"#173177"},"remark":{"value":"抽奖机会将在今晚24点前失效，点击立即参与>>","color":"#173177"}},result={"msgid":324987365112168452,"errcode":0,"ErrorCodeValue":0,"errmsg":"ok","P2PData":null}
2018-06-14 15:56:33,496 [6] INFO  BaseLog [(null)] - 给用户UserID=169601,openid=ou6tm00MqHt77I_C5Pcp3YPKdEuo,appid=wx03fdfd49674e8b9e,tempID=9ug9blgXDErfVXvwfbVGrP4B1A5cIi74Lj1vWu2ixdQ,tempName=注册成功通知,发送模板消息=成功
2018-06-14 15:56:33,744 [6] INFO  BaseLog [(null)] - 发送模板消息完成，appId=wx03fdfd49674e8b9e,openId=ou6tm06WZhmuLKtWca8plueXTLq4,templateId=9ug9blgXDErfVXvwfbVGrP4B1A5cIi74Lj1vWu2ixdQ,url=http://wxs2.42gcsum31.cn/activityManager/index.html, objData={"first":{"value":"恭喜您注册成功！今日特别送上3次抽奖机会，最高100%中奖，千元现金红包在等你！","color":"#173177"},"keyword1":{"value":"柠萌","color":"#173177"},"keyword2":{"value":"2018-06-14 02:44:37","color":"#173177"},"remark":{"value":"抽奖机会将在今晚24点前失效，点击立即参与>>","color":"#173177"}},result={"msgid":324987369256157184,"errcode":0,"ErrorCodeValue":0,"errmsg":"ok","P2PData":null}
2018-06-14 15:56:33,744 [6] INFO  BaseLog [(null)] - 给用户UserID=169602,openid=ou6tm06WZhmuLKtWca8plueXTLq4,appid=wx03fdfd49674e8b9e,tempID=9ug9blgXDErfVXvwfbVGrP4B1A5cIi74Lj1vWu2ixdQ,tempName=注册成功通知,发送模板消息=成功
2018-06-14 15:56:33,744 [6] INFO  BaseLog [(null)] - 发送模板消息全部完成，待发送3个,其中成功3个，失败0个
