2018-01-31 11:00:31,756 [6] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 11:00:31,780 [6] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 11:46:19,031 [6] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 11:46:19,055 [6] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 11:50:22,785 [17] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 11:50:22,790 [17] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 11:50:27,102 [17] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 11:50:27,107 [17] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 11:50:53,494 [23] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 11:50:53,507 [23] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 11:50:57,171 [17] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 11:50:57,180 [17] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 11:52:31,793 [19] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 11:52:31,797 [19] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 12:53:09,329 [6] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 12:53:09,432 [6] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 12:53:15,179 [6] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 12:53:15,183 [6] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 12:53:20,901 [8] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 12:53:20,905 [8] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 13:05:28,291 [32] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 13:05:28,316 [32] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 13:05:32,793 [28] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 13:05:32,798 [28] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 13:05:45,355 [30] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 13:05:45,366 [30] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 13:20:50,119 [9] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/masj/main.html
2018-01-31 13:20:50,142 [9] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
2018-01-31 13:22:37,226 [9] INFO  BaseLog [(null)] - [IsAuthorized]IsCheckIP=False,IsCheckLogin=True,CheckModuleRight=,用户请求的地址=http://www1.chitunion.com/api/Authorize/GetMenuInfo,UrlRefer=http://www1.chitunion.com/test/main.html
2018-01-31 13:22:37,264 [9] INFO  BaseLog [(null)] - [AuthorizedResult]用户验证失败,CheckLogin=False
